"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 10:30:59 GMT 2021","Wed Aug 25 10:31:02 GMT 2021","3383","testproject","test_feladat3","","","","test_timesheet",""
"passed","Wed Aug 25 10:30:57 GMT 2021","Wed Aug 25 10:30:59 GMT 2021","2304","testproject","test_feladat1","TestFeladat1","","","test_hogwards",""
